bin_id,latitude,longitude,ward_zone,amenity,operator,capacity_liters,waste_type,current_fill_pct,fill_rate_pct_hr,dist_from_depot_km,calorific_value_hhv_mj_kg,recyclable_fraction_pct,time_to_overflow_hrs,urgency_index,recovery_index,cost_index,scps_score,zone_cluster
BIN_0001,28.553635,77.242199,South-East (Lajpat / Okhla),waste_disposal,MCD-SouthEast,2500,Mixed Municipal,64.5,7.62,3.49,14.99,27.8,4.7,0.721,0.458,0.137,0.471,2
BIN_0002,28.622598,77.289655,Shahdara South (Mayur Vihar),waste_disposal,MCD-ShahdaraSouth,2000,Mixed Municipal,64.9,7.96,9.92,13.39,25.9,4.4,0.736,0.414,0.389,0.415,11
BIN_0003,28.753166,77.162756,Rohini / Pitampura,waste_disposal,MCD-Rohini,2500,Mixed Municipal,32.6,7.83,21.19,13.05,39.5,8.6,0.506,0.475,0.832,0.229,7
BIN_0004,28.754832,77.16052,Rohini / Pitampura,waste_disposal,MCD-Rohini,1500,Mixed Municipal,16.9,4.53,21.42,14.54,34.2,18.3,0.279,0.48,0.841,0.115,7
BIN_0005,28.735256,77.167432,Keshavpuram / Shalimar,recycling,MCD-Keshavpuram,1000,Recyclable/Dry,95.8,2.62,19.14,21.12,81.8,1.6,0.763,0.858,0.751,0.489,8
BIN_0006,28.592818,77.122583,West (Janakpuri / Rajouri),waste_disposal,MCD-West,2500,Mixed Municipal,57.7,5.3,9.0,14.14,36.8,8.0,0.592,0.485,0.353,0.371,4
BIN_0007,28.553221,77.252526,South-East (Lajpat / Okhla),waste_disposal,MCD-SouthEast,1500,Mixed Municipal,20.4,5.18,4.43,13.12,34.1,15.4,0.326,0.45,0.174,0.263,2
BIN_0008,28.645371,77.191477,Karol Bagh / Patel Nagar,recycling,MCD-KarolBagh,1000,Recyclable/Dry,40.3,4.52,8.88,23.24,91.4,13.2,0.442,0.951,0.349,0.437,5
BIN_0009,28.590466,77.041652,South-West (Dwarka),recycling,MCD-SouthWest,1000,Recyclable/Dry,25.1,3.6,16.64,18.99,86.6,20.8,0.303,0.837,0.653,0.272,3
BIN_0010,28.538803,77.261498,South-East (Lajpat / Okhla),waste_disposal,MCD-SouthEast,1500,Mixed Municipal,30.1,6.06,5.94,15.08,27.6,11.5,0.425,0.459,0.233,0.304,2
BIN_0011,28.606611,77.295974,Shahdara South (Mayur Vihar),waste_disposal,MCD-ShahdaraSouth,2000,Mixed Municipal,17.6,6.77,9.47,14.06,28.1,12.2,0.363,0.44,0.372,0.239,11
BIN_0012,28.561789,77.195764,South (Saket / Hauz Khas),waste_disposal,MCD-South,2000,Mixed Municipal,64.6,8.08,1.51,14.94,39.1,4.4,0.738,0.513,0.059,0.511,1
BIN_0013,28.59959,77.048604,South-West (Dwarka),waste_basket,MCD-SouthWest,800,Organic/Wet,47.3,3.98,16.17,10.89,5.5,13.2,0.472,0.259,0.635,0.187,3
BIN_0014,28.59894,77.049315,South-West (Dwarka),waste_basket,MCD-SouthWest,300,Recyclable/Dry,26.7,3.36,16.08,20.28,75.1,21.8,0.306,0.807,0.631,0.269,3
BIN_0015,28.675756,77.112744,Rohini / Pitampura,waste_basket,MCD-Rohini,500,Organic/Wet,15.5,3.6,15.36,12.47,12.7,23.5,0.236,0.329,0.603,0.096,7
BIN_0016,28.718103,77.087217,Rohini / Pitampura,recycling,MCD-Rohini,1000,Recyclable/Dry,79.0,4.32,20.62,22.58,87.0,4.9,0.706,0.915,0.81,0.466,7
BIN_0017,28.530282,77.21876,South (Saket / Hauz Khas),waste_basket,MCD-South,300,Organic/Wet,42.5,4.87,4.19,10.73,13.6,11.8,0.47,0.296,0.165,0.291,1
BIN_0018,28.526233,77.156834,South (Saket / Hauz Khas),waste_basket,MCD-South,300,Organic/Wet,88.6,4.91,6.91,11.15,12.3,2.3,0.794,0.299,0.271,0.432,1
