bin_id,osm_id,latitude,longitude,amenity,operator,capacity_liters,waste_type,current_fill_pct,fill_rate_pct_hr,dist_from_depot_km,calorific_value_hhv_mj_kg,recyclable_fraction_pct,time_to_overflow_hrs,urgency_index,recovery_index,cost_index,scps_score,zone_cluster
BIN_001,node/2726665528,28.530282,77.21876,waste_basket,MCD/NDMC,300,Mixed Municipal,32.2,2.89,4.193281998258577,14.83,29.0,23.5,0.328,0.461,0.455,0.211,3
BIN_002,node/3015900843,28.526233,77.156834,waste_basket,MCD/NDMC,300,Mixed Municipal,95.7,2.55,6.907897033842148,14.5,30.6,1.7,0.761,0.462,0.749,0.369,2
BIN_003,node/5236276162,28.563036,77.239303,waste_basket,MCD/NDMC,800,Organic/Wet,60.9,3.91,2.8989408777267855,10.86,6.8,10.0,0.565,0.265,0.314,0.299,3
BIN_004,node/5253725785,28.568453,77.164884,waste_basket,MCD/NDMC,500,Organic/Wet,48.6,3.88,4.408053901745194,11.72,6.4,13.2,0.478,0.282,0.478,0.228,1
BIN_005,node/5269022333,28.569404,77.164906,waste_basket,MCD/NDMC,500,Recyclable/Dry,23.6,3.48,4.410565954725923,19.5,79.3,22.0,0.289,0.812,0.478,0.292,1
BIN_006,node/5483331197,28.519823,77.215934,waste_disposal,MCD/NDMC,2500,Mixed Municipal,93.5,4.55,5.299932119880367,14.7,31.8,1.4,0.816,0.472,0.575,0.435,2
BIN_007,node/5483331221,28.519015,77.210681,waste_disposal,MCD/NDMC,2000,Mixed Municipal,73.4,4.89,5.358317856064336,15.02,29.6,5.4,0.688,0.468,0.581,0.368,2
BIN_008,node/5483331965,28.539712,77.234402,waste_disposal,MCD/NDMC,2500,Mixed Municipal,33.5,7.83,3.8759024751164413,14.71,34.1,8.5,0.513,0.484,0.42,0.318,3
BIN_009,node/5561734264,28.514886,77.22932,waste_disposal,MCD/NDMC,1500,Mixed Municipal,60.6,5.75,6.115464993993298,13.65,34.9,6.9,0.629,0.465,0.663,0.321,3
BIN_010,node/5586450404,28.531879,77.20408,waste_disposal,MCD/NDMC,2000,Mixed Municipal,55.1,7.87,3.969909397269733,14.42,25.5,5.7,0.666,0.435,0.431,0.377,2
BIN_011,node/5598792571,28.538602,77.198422,waste_disposal,MCD/NDMC,2000,Mixed Municipal,26.9,8.19,3.375034542007861,15.24,34.0,8.9,0.48,0.495,0.366,0.315,2
BIN_012,node/5606766736,28.509611,77.179508,waste_disposal,MCD/NDMC,2500,Mixed Municipal,78.3,7.88,7.062456020345152,14.3,39.4,2.8,0.829,0.502,0.766,0.412,2
BIN_013,node/5630006581,28.528029,77.209852,waste_disposal,MCD/NDMC,2500,Mixed Municipal,62.3,5.62,4.355651612734883,15.07,30.4,6.7,0.636,0.473,0.472,0.365,2
BIN_014,node/5715391914,28.585842,77.218743,waste_basket,MCD/NDMC,300,Recyclable/Dry,35.5,3.93,2.2418800076669947,18.87,87.8,16.4,0.388,0.841,0.243,0.398,0
BIN_015,node/5715393722,28.58596,77.220091,waste_basket,MCD/NDMC,300,Recyclable/Dry,25.8,3.93,2.3070865465637116,22.03,83.1,18.9,0.32,0.885,0.25,0.376,0
BIN_016,node/5778513821,28.52558,77.263882,waste_disposal,MCD/NDMC,2500,Mixed Municipal,55.1,7.9,7.008349721745266,14.63,38.7,5.7,0.667,0.505,0.76,0.333,3
BIN_017,node/5783654368,28.560925,77.162008,waste_basket,MCD/NDMC,300,Organic/Wet,41.4,4.77,4.738611501399132,11.84,11.7,12.3,0.46,0.311,0.514,0.22,1
BIN_018,node/5790133229,28.585415,77.212262,waste_basket,MCD/NDMC,500,Organic/Wet,38.4,5.17,2.0373868198974794,12.44,13.5,11.9,0.453,0.332,0.221,0.282,0
BIN_019,node/5790139390,28.593264,77.223638,waste_basket,MCD/NDMC,300,Organic/Wet,35.7,4.32,3.1894376331688963,11.92,6.1,14.9,0.404,0.284,0.346,0.218,0
BIN_020,node/5790140394,28.584991,77.212232,waste_basket,MCD/NDMC,800,Organic/Wet,67.1,3.42,1.990205963285742,11.63,12.0,9.6,0.591,0.308,0.216,0.345,0
BIN_021,node/5799043065,28.521057,77.212869,waste_disposal,MCD/NDMC,2500,Mixed Municipal,42.6,4.81,5.138504973829915,14.89,28.4,11.9,0.469,0.459,0.557,0.261,2
BIN_022,node/5799044044,28.522652,77.214071,waste_disposal,MCD/NDMC,2000,Mixed Municipal,28.2,5.68,4.969425416912159,15.2,34.4,12.6,0.4,0.496,0.539,0.241,2
BIN_023,node/5804017980,28.524198,77.207108,waste_disposal,MCD/NDMC,2000,Mixed Municipal,47.8,4.99,4.789895013248305,15.21,29.9,10.5,0.512,0.473,0.52,0.294,2
BIN_024,node/5884780985,28.57188,77.172341,waste_disposal,MCD/NDMC,2000,Mixed Municipal,83.8,6.21,3.7142957358584923,13.28,28.4,2.6,0.808,0.425,0.403,0.451,1
BIN_025,node/5950266473,28.56572,77.160937,waste_disposal,MCD/NDMC,1500,Mixed Municipal,57.8,6.64,4.794288314613929,13.76,27.5,6.4,0.641,0.431,0.52,0.346,1
BIN_026,node/5950267739,28.567637,77.16077,waste_disposal,MCD/NDMC,1500,Mixed Municipal,45.2,8.27,4.807875788319329,13.3,30.1,6.6,0.611,0.434,0.521,0.331,1
BIN_027,node/5950267741,28.547066,77.229067,waste_disposal,MCD/NDMC,1500,Mixed Municipal,39.3,5.52,2.9120776685201037,14.01,26.0,11.0,0.472,0.428,0.316,0.301,3
BIN_028,node/5960737890,28.53091,77.21717,recycling,MCD/NDMC,1000,Recyclable/Dry,97.8,2.87,4.095573468301473,21.98,87.1,0.8,0.787,0.904,0.444,0.576,3
BIN_029,node/5964264470,28.522024,77.222565,waste_disposal,MCD/NDMC,2500,Mixed Municipal,41.7,4.71,5.171080929205573,14.52,32.5,12.4,0.46,0.472,0.561,0.259,3
BIN_030,node/5964272315,28.57327,77.24587,waste_disposal,MCD/NDMC,1500,Mixed Municipal,54.9,6.62,3.5673234574261157,14.59,35.2,6.8,0.62,0.487,0.387,0.379,3
BIN_031,node/5964272415,28.575102,77.243268,waste_disposal,MCD/NDMC,2000,Mixed Municipal,38.5,7.55,3.3655319808051685,13.61,35.1,8.1,0.538,0.465,0.365,0.336,0
BIN_032,node/6112993593,28.550391,77.252461,waste_disposal,MCD/NDMC,2500,Mixed Municipal,51.1,8.43,4.548714733014995,15.01,32.1,5.8,0.658,0.48,0.493,0.374,3
BIN_033,node/6112995940,28.564642,77.250337,waste_disposal,MCD/NDMC,2500,Mixed Municipal,34.5,5.78,3.94951668658669,13.23,37.5,11.3,0.447,0.469,0.428,0.279,3
BIN_034,node/6227942119,28.568064,77.249967,waste_disposal,MCD/NDMC,1500,Mixed Municipal,75.5,5.38,3.904252055489844,15.15,29.9,4.6,0.72,0.472,0.423,0.417,3
BIN_035,node/6261565904,28.536725,77.197449,waste_disposal,MCD/NDMC,2500,Mixed Municipal,73.9,5.2,3.6035239060723456,13.57,34.7,5.0,0.702,0.462,0.391,0.412,2
BIN_036,node/6265508688,28.52356,77.229492,waste_disposal,MCD/NDMC,2500,Mixed Municipal,28.9,5.86,5.212730091405774,15.34,27.1,12.1,0.411,0.462,0.565,0.231,3
BIN_037,node/6286535779,28.515397,77.197086,waste_basket,MCD/NDMC,800,Mixed Municipal,63.3,4.54,5.896748947507912,13.64,29.9,8.1,0.605,0.44,0.64,0.306,2
BIN_038,node/6404197724,28.592185,77.21279,waste_basket,MCD/NDMC,500,Organic/Wet,69.4,5.7,2.791542767197273,10.69,14.0,5.4,0.689,0.298,0.303,0.373,0
BIN_039,node/6411010197,28.529335,77.191074,waste_basket,MCD/NDMC,300,Organic/Wet,80.8,5.66,4.5983615949641985,11.95,14.0,3.4,0.767,0.324,0.499,0.381,2
BIN_040,node/6458623083,28.543475,77.251649,waste_basket,MCD/NDMC,500,Organic/Wet,20.7,4.82,4.84837273896964,10.82,14.0,16.5,0.316,0.3,0.526,0.143,3
BIN_041,node/6466146295,28.543625,77.205183,waste_basket,MCD/NDMC,300,Recyclable/Dry,74.0,3.37,2.663338292802187,18.53,72.9,7.7,0.638,0.759,0.289,0.489,2
BIN_042,node/6466155021,28.540022,77.186521,waste_disposal,MCD/NDMC,1500,Mixed Municipal,45.4,5.45,3.7935514975403226,13.56,35.7,10.0,0.512,0.467,0.411,0.314,2
BIN_043,node/6469711661,28.598465,77.191168,waste_basket,MCD/NDMC,500,Recyclable/Dry,27.3,3.42,3.932842596593126,22.75,81.8,21.3,0.313,0.893,0.427,0.339,0
BIN_044,node/6469711662,28.598416,77.191142,waste_basket,MCD/NDMC,300,Organic/Wet,89.6,4.18,3.929177080499031,10.99,14.7,2.5,0.776,0.308,0.426,0.395,0
BIN_045,node/6469723359,28.600849,77.192391,waste_basket,MCD/NDMC,500,Recyclable/Dry,35.2,3.23,4.1177387644979815,21.01,80.4,20.1,0.361,0.849,0.447,0.346,0
BIN_046,node/6469723360,28.600813,77.192371,waste_basket,MCD/NDMC,500,Organic/Wet,93.4,3.53,4.114922268573625,10.55,11.5,1.9,0.779,0.282,0.446,0.385,0
BIN_047,node/6469723361,28.600843,77.192571,waste_basket,MCD/NDMC,800,Mixed Municipal,53.4,4.82,4.109839942649186,13.93,20.2,9.7,0.545,0.398,0.446,0.303,0
BIN_048,node/6469723362,28.600864,77.192583,waste_basket,MCD/NDMC,800,Mixed Municipal,86.4,3.46,4.111527189946164,15.13,24.4,3.9,0.728,0.444,0.446,0.408,0
BIN_049,node/6470184611,28.592494,77.188073,waste_basket,MCD/NDMC,300,Organic/Wet,64.5,5.09,3.5347950769404473,11.61,14.4,7.0,0.633,0.319,0.383,0.335,1
BIN_050,node/6470184612,28.592515,77.188308,waste_basket,MCD/NDMC,300,Recyclable/Dry,88.4,3.3,3.522767325462291,23.45,72.5,3.5,0.736,0.862,0.382,0.55,1
BIN_051,node/6470184613,28.592575,77.188129,waste_basket,MCD/NDMC,500,Recyclable/Dry,83.1,2.73,3.538703920946633,22.01,76.5,6.2,0.679,0.851,0.384,0.518,1
BIN_052,node/6470184615,28.592413,77.188226,waste_basket,MCD/NDMC,800,Mixed Municipal,82.3,3.75,3.5186004531144857,15.28,27.7,4.7,0.71,0.464,0.382,0.418,1
BIN_053,node/6470184620,28.570605,77.169221,waste_basket,MCD/NDMC,500,Recyclable/Dry,49.3,2.84,4.00026968361705,22.48,86.0,17.9,0.446,0.909,0.434,0.409,1
BIN_054,node/6474793167,28.572795,77.162954,waste_basket,MCD/NDMC,300,Recyclable/Dry,42.4,3.36,4.636170383991551,18.68,78.4,17.1,0.416,0.79,0.503,0.345,1
BIN_055,node/6474793168,28.572566,77.162305,waste_basket,MCD/NDMC,500,Organic/Wet,29.9,4.08,4.695724457040009,10.57,13.2,17.2,0.354,0.291,0.509,0.163,1
BIN_056,node/6474825710,28.577498,77.173351,waste_basket,MCD/NDMC,500,Recyclable/Dry,24.0,2.21,3.7575919543846514,19.58,81.2,34.4,0.247,0.823,0.408,0.289,1
BIN_057,node/6474825711,28.574927,77.168472,waste_basket,MCD/NDMC,500,Recyclable/Dry,60.3,4.44,4.145385704589698,21.69,83.1,8.9,0.58,0.877,0.45,0.463,1
BIN_058,node/6474825712,28.574826,77.167559,waste_basket,MCD/NDMC,300,Recyclable/Dry,22.0,2.2,4.230401011254069,19.85,77.9,35.5,0.232,0.812,0.459,0.268,1
BIN_059,node/6474825713,28.573808,77.165199,waste_basket,MCD/NDMC,800,Recyclable/Dry,32.2,2.43,4.436298523411596,21.98,77.4,27.9,0.312,0.855,0.481,0.316,1
BIN_060,node/6474825715,28.573416,77.164341,waste_basket,MCD/NDMC,300,Recyclable/Dry,94.5,2.7,4.51206977527663,22.07,81.9,2.0,0.758,0.879,0.489,0.545,1
BIN_061,node/6474825717,28.57404,77.165755,waste_basket,MCD/NDMC,500,Recyclable/Dry,47.8,2.62,4.387196040068786,21.56,77.6,19.9,0.428,0.847,0.476,0.373,1
BIN_062,node/6474825719,28.575354,77.168648,waste_basket,MCD/NDMC,500,Organic/Wet,86.7,3.12,4.138757101240767,10.73,5.5,4.3,0.718,0.256,0.449,0.346,1
BIN_063,node/6474825720,28.573076,77.163563,waste_basket,MCD/NDMC,500,Organic/Wet,33.5,4.42,4.581597300484484,10.7,9.9,15.0,0.392,0.277,0.497,0.18,1
BIN_064,node/6474825721,28.575726,77.169441,waste_basket,MCD/NDMC,500,Organic/Wet,49.2,3.14,4.072636853764672,11.73,11.4,16.2,0.456,0.307,0.442,0.232,1
BIN_065,node/6474825725,28.573381,77.164801,waste_basket,MCD/NDMC,500,Recyclable/Dry,25.5,2.41,4.467070174379094,22.78,81.9,30.9,0.264,0.895,0.485,0.304,1
BIN_066,node/6474825726,28.57451,77.166824,waste_basket,MCD/NDMC,500,Organic/Wet,50.3,4.73,4.294007160059923,11.67,14.4,10.5,0.52,0.321,0.466,0.263,1
BIN_067,node/6474960125,28.548596,77.189219,waste_basket,MCD/NDMC,500,Organic/Wet,95.0,4.16,2.898057350085222,11.59,14.4,1.2,0.813,0.319,0.314,0.439,2
BIN_068,node/6475259570,28.568867,77.213442,waste_basket,MCD/NDMC,800,Organic/Wet,27.4,3.05,0.3838866460227018,10.64,6.0,23.8,0.3,0.257,0.042,0.219,0
BIN_069,node/6490310051,28.516465,77.223323,waste_disposal,MCD/NDMC,2500,Mixed Municipal,73.2,6.04,5.789673853508749,13.84,34.8,4.4,0.727,0.469,0.628,0.379,3
BIN_070,node/6490310052,28.523139,77.235049,waste_disposal,MCD/NDMC,2000,Mixed Municipal,74.3,4.97,5.476289112708609,15.04,29.2,5.2,0.697,0.466,0.594,0.37,3
BIN_071,node/6616640804,28.570759,77.240116,waste_basket,MCD/NDMC,500,Mixed Municipal,33.8,3.21,2.9674772326503347,14.84,32.1,20.6,0.351,0.477,0.322,0.254,3
BIN_072,node/6620973564,28.538587,77.198811,waste_basket,MCD/NDMC,500,Recyclable/Dry,80.6,2.93,3.3640647573092783,23.45,77.4,6.6,0.668,0.886,0.365,0.527,2
BIN_073,node/6720753129,28.515193,77.20537,waste_disposal,MCD/NDMC,2500,Mixed Municipal,78.6,6.22,5.80058246433949,15.33,37.9,3.4,0.772,0.516,0.629,0.415,2
BIN_074,node/6749964764,28.539818,77.242677,waste_basket,MCD/NDMC,500,Organic/Wet,45.0,5.48,4.411008556890856,12.31,10.1,10.0,0.51,0.313,0.478,0.253,3
BIN_075,node/6750512444,28.540814,77.242348,waste_disposal,MCD/NDMC,2500,Mixed Municipal,86.1,8.33,4.31159955453815,13.25,25.8,1.7,0.899,0.411,0.468,0.479,3
BIN_076,node/6812482598,28.519299,77.207621,waste_basket,MCD/NDMC,300,Mixed Municipal,26.5,3.73,5.331469670355273,14.69,27.2,19.7,0.318,0.449,0.578,0.178,2
BIN_077,node/6833896542,28.522222,77.16837,waste_disposal,MCD/NDMC,1500,Mixed Municipal,78.7,7.19,6.445800040782638,13.73,29.9,3.0,0.807,0.442,0.699,0.396,2
BIN_078,node/6834036200,28.522936,77.18064,waste_disposal,MCD/NDMC,2500,Mixed Municipal,96.0,8.22,5.69646534360218,14.95,26.7,0.5,0.965,0.452,0.618,0.494,2
BIN_079,node/6853514737,28.614792,77.233762,waste_basket,MCD/NDMC,800,Organic/Wet,95.6,5.12,5.778212224745796,11.97,10.5,0.9,0.851,0.307,0.627,0.393,0
BIN_080,node/6862917578,28.565024,77.163268,waste_disposal,MCD/NDMC,1500,Mixed Municipal,26.6,4.9,4.570213261750021,14.9,34.3,15.0,0.361,0.489,0.496,0.228,1
BIN_081,node/6961335190,28.533041,77.152124,waste_disposal,MCD/NDMC,1500,Mixed Municipal,31.4,8.07,6.810551960434413,13.56,30.9,8.5,0.507,0.443,0.739,0.239,2
BIN_082,node/7013728993,28.524654,77.189941,waste_basket,MCD/NDMC,500,Organic/Wet,38.5,5.64,5.1205800286278915,11.66,13.6,10.9,0.47,0.316,0.555,0.219,2
BIN_083,node/7013728997,28.527148,77.190113,waste_basket,MCD/NDMC,800,Recyclable/Dry,49.5,3.2,4.858759513202063,20.25,82.7,15.8,0.46,0.845,0.527,0.378,2
BIN_084,node/7013729003,28.525827,77.189924,waste_basket,MCD/NDMC,500,Organic/Wet,51.6,3.76,5.001019560476249,11.16,9.3,12.9,0.495,0.284,0.542,0.224,2
BIN_085,node/7013729008,28.525196,77.189909,waste_basket,MCD/NDMC,500,Recyclable/Dry,73.1,3.86,5.066142426672616,22.34,84.8,7.0,0.649,0.9,0.55,0.485,2
BIN_086,node/7013729010,28.526394,77.189948,waste_basket,MCD/NDMC,300,Organic/Wet,54.0,4.59,4.942047916890961,11.46,5.8,10.0,0.541,0.273,0.536,0.245,2
BIN_087,node/7150717314,28.574415,77.168682,waste_disposal,MCD/NDMC,2000,Mixed Municipal,89.5,4.67,4.113875570916143,13.03,39.5,2.2,0.793,0.475,0.446,0.45,1
BIN_088,node/7150717317,28.572648,77.169606,waste_disposal,MCD/NDMC,2000,Mixed Municipal,74.2,5.51,3.9908980245313685,15.31,38.8,4.7,0.715,0.52,0.433,0.427,1
BIN_089,node/8284509723,28.516942,77.179717,recycling,MCD/NDMC,1000,Recyclable/Dry,43.0,3.04,6.323004194538773,18.88,77.8,18.8,0.409,0.791,0.686,0.305,2
BIN_090,node/8339612102,28.533174,77.217832,recycling,Malik Recycler,1000,Recyclable/Dry,77.5,3.46,3.860081564826089,23.48,86.8,6.5,0.666,0.934,0.419,0.529,3
BIN_091,node/8339647415,28.532861,77.218532,recycling,MCD/NDMC,1000,Recyclable/Dry,50.8,2.64,3.908158910336892,23.08,91.3,18.6,0.45,0.948,0.424,0.424,3
BIN_092,node/8375317477,28.558656,77.228148,recycling,Prem Gupta,1000,Recyclable/Dry,70.5,2.92,2.0108888510034926,19.03,80.7,10.1,0.597,0.809,0.218,0.498,3
